,orderNo,Salmon,Pork Chop,Sea Bass,Duck Breast,Swordfish,Pork Tenderloin,Filet Mignon,Roast Chicken,rowTotal,,,4253,
11387,144028,1,3,0,0,0,1,0,0,5,,,,
11659,144543,1,3,0,1,0,0,0,0,5,,,,
11697,144622,1,3,0,0,1,0,0,0,5,,,,
11996,145203,1,3,0,0,0,1,0,0,5,,,,
12136,145465,1,3,0,1,0,0,0,0,5,,,,
270,122841,0,3,0,1,1,0,0,0,5,,,,
364,123024,0,3,0,0,1,1,0,0,5,,,,
470,123246,0,3,1,0,0,0,0,1,5,,,,
663,123602,0,3,0,0,1,1,0,0,5,,,,
964,124216,0,3,1,1,0,0,0,0,5,,,,
1050,124392,0,3,0,0,1,1,0,0,5,,,,
1064,124413,0,3,0,1,0,0,1,0,5,,,,
1117,124516,0,3,0,0,0,1,1,0,5,,,,
1272,124819,0,3,0,0,1,0,1,0,5,,,,
1655,125554,0,3,1,1,0,0,0,0,5,,,,
2044,126351,0,3,0,0,1,0,1,0,5,,,,
2105,126456,0,3,0,2,0,0,0,0,5,,,,
2364,126928,0,3,1,0,0,0,0,1,5,,,,
2564,127311,0,3,0,1,0,1,0,0,5,,,,
2642,127466,0,3,0,0,1,1,0,0,5,,,,
2933,128033,0,3,0,0,1,0,1,0,5,,,,
3138,128428,0,3,0,0,0,1,1,0,5,,,,
3480,129062,0,3,0,0,0,1,1,0,5,,,,
3488,129073,0,3,1,1,0,0,0,0,5,,,,
3642,129337,0,3,1,0,1,0,0,0,5,,,,
3672,129387,0,3,1,0,0,0,0,1,5,,,,
3856,129707,0,3,1,0,0,1,0,0,5,,,,
3861,129719,0,3,1,0,1,0,0,0,5,,,,
3905,129795,0,3,1,0,0,1,0,0,5,,,,
4004,129986,0,3,0,0,1,1,0,0,5,,,,
4287,130524,0,3,0,0,0,1,1,0,5,,,,
4493,130914,0,3,0,1,0,0,0,1,5,,,,
4753,131430,0,3,1,0,0,0,1,0,5,,,,
4952,131809,0,3,2,0,0,0,0,0,5,,,,
4963,131830,0,3,0,1,0,0,1,0,5,,,,
5093,132099,0,3,0,0,1,1,0,0,5,,,,
5202,132294,0,3,0,0,0,0,2,0,5,,,,
5264,132410,0,3,0,0,1,0,1,0,5,,,,
5330,132526,0,3,1,1,0,0,0,0,5,,,,
5392,132635,0,3,1,0,0,0,1,0,5,,,,
5465,132769,0,3,1,0,0,0,1,0,5,,,,
5477,132796,0,3,0,1,1,0,0,0,5,,,,
5670,133162,0,3,0,0,0,1,0,1,5,,,,
5789,133380,0,3,0,1,1,0,0,0,5,,,,
5792,133384,0,3,0,0,0,0,2,0,5,,,,
5825,133444,0,3,0,1,0,1,0,0,5,,,,
6087,133913,0,3,0,1,0,0,1,0,5,,,,
6091,133918,0,3,0,0,0,1,1,0,5,,,,
6231,134173,0,3,1,0,0,1,0,0,5,,,,
6408,134489,0,3,1,0,1,0,0,0,5,,,,
6481,134619,0,3,0,0,0,1,1,0,5,,,,
6523,134699,0,3,1,0,0,1,0,0,5,,,,
7477,136489,0,3,1,0,0,1,0,0,5,,,,
7668,136853,0,3,0,0,0,1,1,0,5,,,,
8102,137666,0,3,0,0,1,1,0,0,5,,,,
8103,137667,0,3,0,0,0,1,1,0,5,,,,
8127,137706,0,3,0,1,0,0,1,0,5,,,,
8335,138133,0,3,0,0,1,1,0,0,5,,,,
8467,138414,0,3,0,1,0,0,1,0,5,,,,
8493,138474,0,3,1,1,0,0,0,0,5,,,,
8534,138550,0,3,0,2,0,0,0,0,5,,,,
8548,138578,0,3,1,0,0,0,1,0,5,,,,
8611,138696,0,3,1,0,0,1,0,0,5,,,,
8793,139046,0,3,1,0,0,0,1,0,5,,,,
8795,139050,0,3,1,1,0,0,0,0,5,,,,
8805,139066,0,3,0,0,0,0,2,0,5,,,,
8973,139398,0,3,0,1,0,0,1,0,5,,,,
8986,139417,0,3,2,0,0,0,0,0,5,,,,
9038,139525,0,3,0,0,0,1,1,0,5,,,,
9301,140037,0,3,1,0,0,0,1,0,5,,,,
9512,140425,0,3,0,1,1,0,0,0,5,,,,
9519,140436,0,3,0,0,1,0,1,0,5,,,,
9547,140490,0,3,0,0,0,2,0,0,5,,,,
9578,140553,0,3,0,0,2,0,0,0,5,,,,
9608,140622,0,3,0,0,0,1,0,1,5,,,,
9827,141025,0,3,0,0,0,1,1,0,5,,,,
9964,141310,0,3,0,0,0,1,1,0,5,,,,
10095,141558,0,3,0,0,0,0,1,1,5,,,,
10124,141614,0,3,0,0,0,2,0,0,5,,,,
10197,141773,0,3,1,0,1,0,0,0,5,,,,
10261,141903,0,3,0,0,0,0,2,0,5,,,,
10647,142652,0,3,0,1,0,1,0,0,5,,,,
10913,143153,0,3,1,0,0,1,0,0,5,,,,
11000,143317,0,3,0,0,0,0,2,0,5,,,,
11054,143415,0,3,0,0,0,1,1,0,5,,,,
11096,143504,0,3,0,1,0,0,1,0,5,,,,
11279,143832,0,3,0,0,0,0,1,1,5,,,,
11345,143946,0,3,0,1,0,1,0,0,5,,,,
11402,144049,0,3,0,0,0,1,1,0,5,,,,
11463,144168,0,3,0,0,1,0,1,0,5,,,,
11576,144400,0,3,1,0,0,1,0,0,5,,,,
11654,144527,0,3,0,1,0,0,0,1,5,,,,
11767,144753,0,3,1,0,0,1,0,0,5,,,,
12011,145235,0,3,0,1,0,0,0,1,5,,,,
12077,145359,0,3,1,1,0,0,0,0,5,,,,
12122,145435,0,3,0,1,0,0,1,0,5,,,,
12350,145849,0,3,1,0,0,0,1,0,5,,,,
12582,146254,0,3,1,0,0,0,1,0,5,,,,
12726,146511,0,3,0,0,0,2,0,0,5,,,,
12736,146528,0,3,1,0,0,1,0,0,5,,,,
11591,144430,3,2,0,0,0,0,0,0,5,,,,
38,122386,2,2,0,0,1,0,0,0,5,,,,
678,123627,2,2,0,1,0,0,0,0,5,,,,
842,123955,2,2,0,0,0,0,1,0,5,,,,
856,123982,2,2,1,0,0,0,0,0,5,,,,
2312,126843,2,2,0,0,0,1,0,0,5,,,,
2711,127605,2,2,0,0,1,0,0,0,5,,,,
2768,127713,2,2,1,0,0,0,0,0,5,,,,
2910,127994,2,2,0,0,1,0,0,0,5,,,,
3385,128896,2,2,1,0,0,0,0,0,5,,,,
3573,129218,2,2,0,0,0,0,1,0,5,,,,
4048,130069,2,2,0,0,1,0,0,0,5,,,,
4759,131439,2,2,1,0,0,0,0,0,5,,,,
4770,131457,2,2,1,0,0,0,0,0,5,,,,
5112,132133,2,2,1,0,0,0,0,0,5,,,,
5201,132293,2,2,1,0,0,0,0,0,5,,,,
5327,132521,2,2,0,1,0,0,0,0,5,,,,
5356,132574,2,2,0,0,0,0,1,0,5,,,,
6249,134211,2,2,0,0,0,0,1,0,5,,,,
6732,135106,2,2,0,0,0,0,0,1,5,,,,
6943,135495,2,2,0,1,0,0,0,0,5,,,,
7002,135605,2,2,1,0,0,0,0,0,5,,,,
7996,137473,2,2,0,0,0,1,0,0,5,,,,
8450,138384,2,2,0,0,1,0,0,0,5,,,,
8621,138718,2,2,0,0,0,1,0,0,5,,,,
9435,140292,2,2,0,0,1,0,0,0,5,,,,
10479,142316,2,2,0,0,0,1,0,0,5,,,,
10824,142984,2,2,0,0,0,0,0,1,5,,,,
11033,143379,2,2,0,0,0,0,1,0,5,,,,
11083,143478,2,2,1,0,0,0,0,0,5,,,,
11494,144236,2,2,0,0,0,0,1,0,5,,,,
12207,145597,2,2,0,0,1,0,0,0,5,,,,
12816,146678,2,2,1,0,0,0,0,0,5,,,,
67,122439,1,2,0,0,0,0,1,1,5,,,,
90,122481,1,2,2,0,0,0,0,0,5,,,,
271,122844,1,2,1,1,0,0,0,0,5,,,,
298,122892,1,2,0,0,0,1,1,0,5,,,,
328,122947,1,2,0,0,0,1,0,1,5,,,,
409,123111,1,2,0,1,0,0,1,0,5,,,,
766,123794,1,2,1,1,0,0,0,0,5,,,,
797,123857,1,2,0,0,0,0,2,0,5,,,,
807,123881,1,2,1,0,1,0,0,0,5,,,,
832,123929,1,2,0,0,0,1,1,0,5,,,,
846,123961,1,2,0,0,0,1,0,1,5,,,,
861,123989,1,2,0,0,2,0,0,0,5,,,,
932,124163,1,2,0,1,1,0,0,0,5,,,,
1004,124293,1,2,1,0,0,0,1,0,5,,,,
1217,124716,1,2,1,0,0,1,0,0,5,,,,
1258,124799,1,2,0,0,0,2,0,0,5,,,,
1317,124904,1,2,1,0,0,0,1,0,5,,,,
1411,125099,1,2,1,1,0,0,0,0,5,,,,
1560,125372,1,2,0,0,0,0,2,0,5,,,,
1644,125536,1,2,1,1,0,0,0,0,5,,,,
1943,126155,1,2,0,0,0,1,1,0,5,,,,
1952,126174,1,2,0,0,0,1,1,0,5,,,,
1957,126183,1,2,0,0,2,0,0,0,5,,,,
2173,126585,1,2,0,0,0,1,1,0,5,,,,
2244,126707,1,2,1,0,0,0,0,1,5,,,,
2326,126867,1,2,0,0,0,1,1,0,5,,,,
2340,126887,1,2,0,0,1,1,0,0,5,,,,
2365,126931,1,2,0,0,0,1,0,1,5,,,,
2383,126959,1,2,0,0,0,0,2,0,5,,,,
2425,127041,1,2,0,1,0,0,1,0,5,,,,
2437,127075,1,2,0,0,1,1,0,0,5,,,,
2445,127089,1,2,0,0,2,0,0,0,5,,,,
2475,127149,1,2,0,0,1,1,0,0,5,,,,
2613,127401,1,2,1,0,0,0,1,0,5,,,,
2614,127402,1,2,1,0,1,0,0,0,5,,,,
2667,127521,1,2,1,0,0,0,1,0,5,,,,
2690,127561,1,2,1,0,1,0,0,0,5,,,,
2724,127630,1,2,0,1,0,1,0,0,5,,,,
2750,127683,1,2,0,0,1,1,0,0,5,,,,
2790,127758,1,2,0,0,0,1,1,0,5,,,,
2834,127851,1,2,1,0,0,1,0,0,5,,,,
2838,127863,1,2,0,0,1,0,1,0,5,,,,
3112,128380,1,2,0,0,0,1,1,0,5,,,,
3139,128432,1,2,1,1,0,0,0,0,5,,,,
3243,128628,1,2,0,1,0,1,0,0,5,,,,
3268,128666,1,2,0,2,0,0,0,0,5,,,,
3282,128687,1,2,1,1,0,0,0,0,5,,,,
3301,128712,1,2,1,1,0,0,0,0,5,,,,
3340,128806,1,2,1,0,1,0,0,0,5,,,,
3351,128828,1,2,0,1,0,0,1,0,5,,,,
3410,128943,1,2,2,0,0,0,0,0,5,,,,
3461,129035,1,2,0,0,1,0,1,0,5,,,,
3471,129051,1,2,0,0,0,1,0,1,5,,,,
3568,129212,1,2,0,1,0,1,0,0,5,,,,
3791,129600,1,2,1,0,0,1,0,0,5,,,,
3841,129688,1,2,1,0,0,0,0,1,5,,,,
3959,129896,1,2,0,0,1,1,0,0,5,,,,
3967,129922,1,2,1,0,0,1,0,0,5,,,,
3998,129972,1,2,0,0,1,1,0,0,5,,,,
4035,130045,1,2,1,0,0,0,1,0,5,,,,
4051,130075,1,2,0,1,0,1,0,0,5,,,,
4124,130212,1,2,0,1,0,0,1,0,5,,,,
4158,130276,1,2,0,1,0,1,0,0,5,,,,
4358,130652,1,2,1,0,0,0,1,0,5,,,,
4360,130654,1,2,0,0,2,0,0,0,5,,,,
4366,130667,1,2,1,0,0,0,1,0,5,,,,
4515,130960,1,2,0,2,0,0,0,0,5,,,,
4646,131203,1,2,1,0,0,1,0,0,5,,,,
4915,131748,1,2,0,0,0,2,0,0,5,,,,
5009,131929,1,2,1,0,0,0,1,0,5,,,,
5030,131971,1,2,1,0,0,0,1,0,5,,,,
5034,131983,1,2,0,1,0,0,1,0,5,,,,
5082,132073,1,2,0,0,1,0,1,0,5,,,,
5121,132148,1,2,0,0,0,0,1,1,5,,,,
5166,132238,1,2,0,0,0,1,1,0,5,,,,
5225,132342,1,2,1,0,1,0,0,0,5,,,,
5318,132507,1,2,0,0,1,0,1,0,5,,,,
5414,132676,1,2,0,0,1,0,1,0,5,,,,
5511,132866,1,2,1,1,0,0,0,0,5,,,,
5751,133312,1,2,0,1,1,0,0,0,5,,,,
5919,133607,1,2,0,0,1,1,0,0,5,,,,
5977,133704,1,2,0,0,0,2,0,0,5,,,,
6010,133757,1,2,1,0,0,0,0,1,5,,,,
6086,133912,1,2,1,0,0,0,1,0,5,,,,
6163,134050,1,2,0,0,0,1,1,0,5,,,,
6217,134144,1,2,2,0,0,0,0,0,5,,,,
6317,134325,1,2,1,1,0,0,0,0,5,,,,
6429,134526,1,2,1,0,1,0,0,0,5,,,,
6567,134782,1,2,0,0,0,0,2,0,5,,,,
6639,134904,1,2,1,0,0,0,1,0,5,,,,
6789,135230,1,2,1,1,0,0,0,0,5,,,,
6868,135370,1,2,0,0,0,1,0,1,5,,,,
7049,135707,1,2,0,1,0,0,1,0,5,,,,
7050,135708,1,2,0,1,0,1,0,0,5,,,,
7152,135900,1,2,1,1,0,0,0,0,5,,,,
7231,136042,1,2,1,0,0,0,1,0,5,,,,
7246,136073,1,2,0,0,0,1,1,0,5,,,,
7275,136131,1,2,0,1,0,1,0,0,5,,,,
7301,136176,1,2,0,1,0,1,0,0,5,,,,
7313,136199,1,2,0,1,1,0,0,0,5,,,,
7379,136331,1,2,0,2,0,0,0,0,5,,,,
7391,136354,1,2,1,0,0,1,0,0,5,,,,
7470,136479,1,2,1,1,0,0,0,0,5,,,,
7491,136511,1,2,0,0,1,1,0,0,5,,,,
7511,136550,1,2,1,1,0,0,0,0,5,,,,
7674,136866,1,2,0,1,0,1,0,0,5,,,,
7874,137266,1,2,0,1,0,1,0,0,5,,,,
7971,137432,1,2,0,0,1,0,1,0,5,,,,
8062,137592,1,2,1,0,1,0,0,0,5,,,,
8086,137638,1,2,0,1,1,0,0,0,5,,,,
8088,137644,1,2,0,1,1,0,0,0,5,,,,
8134,137719,1,2,1,1,0,0,0,0,5,,,,
8388,138251,1,2,0,1,0,1,0,0,5,,,,
8503,138488,1,2,1,1,0,0,0,0,5,,,,
8566,138609,1,2,1,0,0,0,1,0,5,,,,
8573,138624,1,2,0,0,0,0,2,0,5,,,,
8614,138701,1,2,1,0,0,0,1,0,5,,,,
8642,138752,1,2,1,1,0,0,0,0,5,,,,
8685,138841,1,2,1,0,0,0,0,1,5,,,,
8769,139002,1,2,1,0,0,0,1,0,5,,,,
9027,139508,1,2,0,0,1,0,1,0,5,,,,
9044,139540,1,2,0,1,0,0,1,0,5,,,,
9057,139566,1,2,1,0,0,1,0,0,5,,,,
9092,139633,1,2,1,0,0,0,1,0,5,,,,
9159,139770,1,2,0,0,0,2,0,0,5,,,,
9364,140154,1,2,0,0,0,1,1,0,5,,,,
9490,140383,1,2,1,1,0,0,0,0,5,,,,
9694,140760,1,2,0,0,1,1,0,0,5,,,,
9707,140783,1,2,0,0,0,0,2,0,5,,,,
9722,140816,1,2,0,1,0,1,0,0,5,,,,
9755,140889,1,2,1,0,0,0,1,0,5,,,,
9768,140915,1,2,0,0,0,1,0,1,5,,,,
9939,141253,1,2,0,0,1,1,0,0,5,,,,
9947,141271,1,2,0,0,0,0,1,1,5,,,,
9968,141318,1,2,1,0,0,1,0,0,5,,,,
9976,141332,1,2,1,0,0,1,0,0,5,,,,
10142,141649,1,2,1,0,0,0,0,1,5,,,,
10150,141664,1,2,0,1,0,1,0,0,5,,,,
10182,141740,1,2,0,0,1,0,1,0,5,,,,
10196,141769,1,2,0,0,1,1,0,0,5,,,,
10289,141959,1,2,0,0,0,2,0,0,5,,,,
10386,142114,1,2,0,0,0,0,1,1,5,,,,
10422,142189,1,2,0,1,0,0,1,0,5,,,,
10579,142509,1,2,0,0,1,0,1,0,5,,,,
10633,142616,1,2,1,0,1,0,0,0,5,,,,
10692,142719,1,2,0,0,1,1,0,0,5,,,,
10708,142754,1,2,1,0,0,0,1,0,5,,,,
10720,142778,1,2,0,0,0,0,1,1,5,,,,
10806,142951,1,2,2,0,0,0,0,0,5,,,,
10888,143101,1,2,0,1,0,0,1,0,5,,,,
10896,143116,1,2,1,0,0,0,1,0,5,,,,
10955,143227,1,2,1,0,0,0,0,1,5,,,,
10969,143250,1,2,0,0,0,0,2,0,5,,,,
11391,144033,1,2,0,0,0,1,0,1,5,,,,
11415,144075,1,2,0,0,0,1,1,0,5,,,,
11416,144077,1,2,1,0,0,0,1,0,5,,,,
11420,144084,1,2,0,0,1,0,1,0,5,,,,
11596,144436,1,2,1,0,0,0,1,0,5,,,,
11645,144511,1,2,2,0,0,0,0,0,5,,,,
11692,144614,1,2,0,0,0,1,1,0,5,,,,
11747,144721,1,2,0,1,1,0,0,0,5,,,,
11805,144830,1,2,0,0,0,1,0,1,5,,,,
11821,144857,1,2,0,0,1,0,1,0,5,,,,
11823,144862,1,2,0,0,0,0,1,1,5,,,,
11858,144937,1,2,0,0,0,0,2,0,5,,,,
11897,145012,1,2,0,1,0,1,0,0,5,,,,
11921,145068,1,2,0,0,0,2,0,0,5,,,,
11973,145161,1,2,0,0,0,0,1,1,5,,,,
12059,145319,1,2,1,0,1,0,0,0,5,,,,
12174,145539,1,2,1,0,1,0,0,0,5,,,,
12180,145546,1,2,1,0,0,1,0,0,5,,,,
12209,145600,1,2,2,0,0,0,0,0,5,,,,
12233,145650,1,2,0,0,1,1,0,0,5,,,,
12304,145780,1,2,1,0,0,0,1,0,5,,,,
12351,145850,1,2,1,0,0,0,1,0,5,,,,
12369,145884,1,2,1,0,0,0,1,0,5,,,,
12452,146022,1,2,0,1,0,1,0,0,5,,,,
12519,146131,1,2,0,1,0,1,0,0,5,,,,
12669,146403,1,2,0,1,0,1,0,0,5,,,,
12802,146645,1,2,0,1,0,0,1,0,5,,,,
12881,146800,1,2,0,0,0,0,1,1,5,,,,
7,122326,0,2,0,0,0,1,2,0,5,,,,
55,122424,0,2,1,0,0,1,1,0,5,,,,
87,122474,0,2,2,1,0,0,0,0,5,,,,
143,122595,0,2,0,1,0,2,0,0,5,,,,
237,122787,0,2,1,1,0,0,0,1,5,,,,
247,122803,0,2,1,1,0,0,0,1,5,,,,
257,122822,0,2,1,0,0,1,1,0,5,,,,
265,122834,0,2,0,0,1,2,0,0,5,,,,
319,122932,0,2,1,0,0,2,0,0,5,,,,
341,122980,0,2,1,0,0,0,2,0,5,,,,
401,123091,0,2,0,0,2,0,1,0,5,,,,
410,123112,0,2,1,1,0,1,0,0,5,,,,
508,123324,0,2,2,0,0,1,0,0,5,,,,
542,123380,0,2,0,0,0,2,1,0,5,,,,
552,123394,0,2,1,1,1,0,0,0,5,,,,
559,123403,0,2,0,0,0,1,2,0,5,,,,
565,123413,0,2,1,0,1,0,1,0,5,,,,
627,123543,0,2,0,0,0,3,0,0,5,,,,
636,123554,0,2,1,1,0,1,0,0,5,,,,
684,123633,0,2,0,1,1,1,0,0,5,,,,
774,123807,0,2,0,0,1,1,1,0,5,,,,
845,123960,0,2,0,0,1,0,2,0,5,,,,
860,123988,0,2,0,0,0,1,2,0,5,,,,
881,124052,0,2,0,0,0,1,2,0,5,,,,
884,124056,0,2,0,1,0,0,2,0,5,,,,
925,124147,0,2,1,1,1,0,0,0,5,,,,
993,124271,0,2,0,0,1,1,1,0,5,,,,
1022,124332,0,2,0,0,0,1,2,0,5,,,,
1141,124562,0,2,1,0,1,0,1,0,5,,,,
1146,124572,0,2,0,0,0,2,1,0,5,,,,
1177,124627,0,2,0,0,1,2,0,0,5,,,,
1226,124737,0,2,1,0,0,0,2,0,5,,,,
1252,124788,0,2,2,0,0,1,0,0,5,,,,
1278,124828,0,2,1,0,0,1,0,1,5,,,,
1286,124843,0,2,0,0,2,0,1,0,5,,,,
1305,124878,0,2,1,0,0,1,0,1,5,,,,
1308,124886,0,2,1,0,0,2,0,0,5,,,,
1343,124949,0,2,0,0,2,1,0,0,5,,,,
1391,125065,0,2,0,0,1,2,0,0,5,,,,
1429,125138,0,2,1,0,2,0,0,0,5,,,,
1451,125191,0,2,1,0,1,0,1,0,5,,,,
1455,125200,0,2,0,1,0,1,1,0,5,,,,
1477,125233,0,2,0,0,2,0,1,0,5,,,,
1500,125279,0,2,0,2,0,0,0,1,5,,,,
1504,125286,0,2,1,1,0,0,0,1,5,,,,
1514,125301,0,2,0,0,1,0,2,0,5,,,,
1533,125333,0,2,0,1,0,1,1,0,5,,,,
1543,125346,0,2,0,1,1,1,0,0,5,,,,
1552,125362,0,2,0,0,1,1,1,0,5,,,,
1564,125380,0,2,3,0,0,0,0,0,5,,,,
1575,125395,0,2,1,0,0,0,0,2,5,,,,
1607,125466,0,2,1,0,0,2,0,0,5,,,,
1608,125469,0,2,1,0,0,1,1,0,5,,,,
1636,125521,0,2,1,0,0,0,2,0,5,,,,
1763,125781,0,2,1,0,1,0,1,0,5,,,,
1781,125819,0,2,0,0,1,2,0,0,5,,,,
1853,125965,0,2,1,0,0,1,1,0,5,,,,
1904,126068,0,2,0,1,1,0,1,0,5,,,,
1918,126097,0,2,0,0,1,2,0,0,5,,,,
1925,126121,0,2,0,1,1,1,0,0,5,,,,
1931,126137,0,2,1,0,0,0,1,1,5,,,,
2002,126278,0,2,0,1,1,1,0,0,5,,,,
2012,126298,0,2,1,1,0,0,1,0,5,,,,
2041,126348,0,2,2,0,0,0,0,1,5,,,,
2049,126360,0,2,2,0,0,0,1,0,5,,,,
2050,126361,0,2,0,2,0,1,0,0,5,,,,
2067,126388,0,2,1,0,0,0,1,1,5,,,,
2124,126496,0,2,1,1,0,0,1,0,5,,,,
2139,126518,0,2,0,1,0,2,0,0,5,,,,
2191,126614,0,2,0,2,0,0,1,0,5,,,,
2325,126865,0,2,1,0,0,1,0,1,5,,,,
2333,126875,0,2,0,0,1,1,1,0,5,,,,
2349,126905,0,2,0,0,1,1,1,0,5,,,,
2357,126921,0,2,0,1,1,0,1,0,5,,,,
2381,126957,0,2,1,1,0,0,1,0,5,,,,
2393,126981,0,2,2,1,0,0,0,0,5,,,,
2398,126987,0,2,2,0,0,1,0,0,5,,,,
2464,127120,0,2,2,0,0,1,0,0,5,,,,
2477,127157,0,2,1,0,2,0,0,0,5,,,,
2501,127197,0,2,1,1,0,0,1,0,5,,,,
2505,127203,0,2,0,1,0,1,1,0,5,,,,
2526,127238,0,2,0,1,0,2,0,0,5,,,,
2578,127335,0,2,0,1,0,0,2,0,5,,,,
2602,127385,0,2,0,0,1,1,0,1,5,,,,
2627,127430,0,2,1,0,0,0,1,1,5,,,,
2781,127743,0,2,1,2,0,0,0,0,5,,,,
2796,127767,0,2,1,0,0,1,0,1,5,,,,
2813,127805,0,2,1,1,0,0,1,0,5,,,,
2855,127891,0,2,1,0,1,0,1,0,5,,,,
2869,127917,0,2,0,0,0,2,1,0,5,,,,
2937,128043,0,2,0,1,0,1,1,0,5,,,,
2957,128082,0,2,1,0,0,1,1,0,5,,,,
2973,128111,0,2,0,1,0,1,1,0,5,,,,
2980,128123,0,2,0,1,0,2,0,0,5,,,,
2983,128127,0,2,0,0,1,1,1,0,5,,,,
3318,128752,0,2,1,1,0,0,1,0,5,,,,
3362,128849,0,2,0,2,1,0,0,0,5,,,,
3444,128999,0,2,0,2,0,1,0,0,5,,,,
3453,129013,0,2,0,0,0,2,0,1,5,,,,
3524,129143,0,2,3,0,0,0,0,0,5,,,,
3624,129302,0,2,0,1,0,0,1,1,5,,,,
3656,129362,0,2,1,0,0,1,0,1,5,,,,
3667,129380,0,2,1,0,0,1,0,1,5,,,,
3704,129447,0,2,1,0,0,1,0,1,5,,,,
3732,129497,0,2,0,0,1,1,1,0,5,,,,
3757,129545,0,2,1,1,0,0,1,0,5,,,,
3799,129610,0,2,2,0,0,0,0,1,5,,,,
3879,129750,0,2,1,0,0,1,0,1,5,,,,
3884,129760,0,2,0,2,0,0,1,0,5,,,,
4003,129983,0,2,0,0,1,1,0,1,5,,,,
4014,130001,0,2,0,2,1,0,0,0,5,,,,
4151,130259,0,2,0,2,1,0,0,0,5,,,,
4199,130348,0,2,2,0,0,0,0,1,5,,,,
4207,130362,0,2,1,1,1,0,0,0,5,,,,
4248,130441,0,2,0,1,1,0,0,1,5,,,,
4276,130503,0,2,1,0,0,1,1,0,5,,,,
4312,130572,0,2,0,0,1,1,1,0,5,,,,
4359,130653,0,2,0,0,0,1,2,0,5,,,,
4367,130668,0,2,1,1,1,0,0,0,5,,,,
4370,130673,0,2,1,1,0,1,0,0,5,,,,
4424,130770,0,2,1,1,0,0,1,0,5,,,,
4431,130787,0,2,0,1,0,0,2,0,5,,,,
4454,130843,0,2,0,2,0,0,1,0,5,,,,
4458,130851,0,2,0,2,0,1,0,0,5,,,,
4508,130940,0,2,0,0,2,1,0,0,5,,,,
4512,130954,0,2,1,1,0,0,1,0,5,,,,
4555,131037,0,2,2,0,0,0,1,0,5,,,,
4560,131045,0,2,0,2,0,1,0,0,5,,,,
4634,131183,0,2,1,0,0,1,0,1,5,,,,
4744,131410,0,2,1,0,0,1,0,1,5,,,,
4764,131446,0,2,0,0,0,1,2,0,5,,,,
4818,131559,0,2,1,0,0,2,0,0,5,,,,
4891,131703,0,2,0,1,0,1,0,1,5,,,,
4924,131764,0,2,0,2,1,0,0,0,5,,,,
4929,131771,0,2,1,1,0,1,0,0,5,,,,
4969,131845,0,2,0,0,1,1,1,0,5,,,,
4989,131888,0,2,1,0,0,1,1,0,5,,,,
5072,132052,0,2,1,0,1,0,0,1,5,,,,
5132,132166,0,2,0,1,0,0,2,0,5,,,,
5149,132199,0,2,0,0,0,0,3,0,5,,,,
5217,132326,0,2,0,0,1,1,1,0,5,,,,
5218,132327,0,2,0,0,0,3,0,0,5,,,,
5332,132530,0,2,0,0,0,2,0,1,5,,,,
5348,132559,0,2,0,0,0,1,2,0,5,,,,
5371,132600,0,2,1,0,1,1,0,0,5,,,,
5401,132654,0,2,0,1,0,0,2,0,5,,,,
5452,132742,0,2,1,0,1,0,0,1,5,,,,
